date,pm2_5,pm2_5_min,pm2_5_max
2024-06-16,8.67,5.0,13.2
2024-06-17,12.66,7.9,17.2
2024-06-18,13.02,10.4,17.4
2024-06-19,12.27,8.5,18.3
2024-06-20,11.47,5.9,21.5
2024-06-21,12.9,9.9,18.8
2024-06-22,20.61,14.8,27.5
2024-06-23,21.61,6.3,44.8
2024-06-24,12.68,3.6,23.1
2024-06-25,10.35,5.7,14.7
2024-06-26,15.61,9.8,24.5
2024-06-27,14.33,3.9,28.4
2024-06-28,6.79,2.8,14.9
2024-06-29,9.9,7.1,12.8
2024-06-30,15.15,5.9,25.9
2024-07-01,9.81,3.2,24.6
2024-07-02,10.45,6.8,14.4
2024-07-03,12.15,5.7,22.7
2024-07-04,11.24,6.0,18.3
2024-07-05,22.7,17.1,26.8
2024-07-06,18.35,13.2,23.7
2024-07-07,25.92,18.3,33.1
2024-07-08,36.44,18.9,57.9
2024-07-09,20.43,16.8,33.4
2024-07-10,11.31,5.3,21.4
2024-07-11,9.4,3.9,16.0
2024-07-12,13.17,7.7,19.4
2024-07-13,10.71,5.3,15.8
2024-07-14,22.98,19.0,31.9
2024-07-15,22.53,15.7,32.2
2024-07-16,18.32,12.9,27.6
2024-07-17,28.5,25.1,32.7
2024-07-18,20.1,10.2,34.0
2024-07-19,8.3,2.5,17.3
2024-07-20,24.43,13.9,36.0
2024-07-21,23.39,19.3,30.5
2024-07-22,17.99,10.6,25.7
2024-07-23,11.67,9.2,17.5
2024-07-24,26.4,17.2,44.4
2024-07-25,26.87,17.9,35.2
2024-07-26,12.11,6.2,27.0
2024-07-27,14.43,9.6,23.2
2024-07-28,32.0,15.8,50.2
2024-07-29,19.32,10.7,28.1
2024-07-30,20.17,9.6,32.6
2024-07-31,12.46,6.9,23.3
2024-08-01,19.98,12.6,28.2
2024-08-02,28.57,14.5,43.1
2024-08-03,22.92,8.8,31.9
2024-08-04,22.78,17.3,27.6
2024-08-05,16.69,9.7,23.4
2024-08-06,24.08,17.0,28.8
2024-08-07,8.58,2.6,22.8
2024-08-08,8.88,7.4,10.8
2024-08-09,7.89,6.0,10.3
2024-08-10,10.31,5.9,16.5
2024-08-11,11.81,7.9,19.1
2024-08-12,16.21,9.4,27.2
2024-08-13,8.72,2.0,19.3
2024-08-14,18.47,9.9,30.6
2024-08-15,18.82,12.7,32.5
2024-08-16,32.64,20.7,45.8
2024-08-17,24.11,17.8,42.1
2024-08-18,18.77,10.3,27.4
2024-08-19,12.52,6.0,21.5
2024-08-20,5.21,1.4,13.7
2024-08-21,10.02,7.5,13.1
2024-08-22,13.66,10.2,22.1
2024-08-23,19.59,7.0,38.5
2024-08-24,25.13,12.4,36.6
2024-08-25,27.31,12.0,45.4
2024-08-26,19.87,10.8,30.9
2024-08-27,28.1,14.8,40.2
2024-08-28,15.52,8.2,24.3
2024-08-29,11.4,7.6,16.6
2024-08-30,9.39,7.7,10.9
2024-08-31,12.2,7.5,18.2
2024-09-01,15.26,13.2,19.8
2024-09-02,11.75,5.5,31.0
2024-09-03,9.09,5.8,20.2
2024-09-04,21.19,7.1,41.7
2024-09-05,20.39,7.2,37.3
2024-09-06,11.65,8.4,16.1
2024-09-07,9.92,6.6,15.0
2024-09-08,7.64,2.6,19.0
2024-09-09,8.41,4.7,14.5
2024-09-10,12.12,4.1,23.7
2024-09-11,10.09,5.7,20.0
2024-09-12,20.44,14.7,35.2
2024-09-13,19.55,13.1,26.7
2024-09-14,28.09,14.2,44.0
2024-09-15,24.23,7.5,53.7
2024-09-16,11.99,9.1,17.2
2024-09-17,13.33,7.5,20.1
2024-09-18,13.89,7.9,21.7
2024-09-19,16.45,10.7,22.6
2024-09-20,11.49,5.7,20.9
2024-09-21,7.16,5.2,11.8
2024-09-22,7.52,4.6,12.6
2024-09-23,8.0,6.4,13.1
2024-09-24,7.17,4.6,12.9
2024-09-25,6.55,4.2,10.1
2024-09-26,9.72,7.0,12.0
2024-09-27,12.68,9.4,16.9
2024-09-28,12.36,7.6,26.2
2024-09-29,9.63,7.0,12.5
2024-09-30,11.03,6.9,15.9
2024-10-01,8.06,5.2,12.5
2024-10-02,7.56,5.1,14.9
2024-10-03,12.88,10.2,23.4
2024-10-04,13.1,9.4,22.4
2024-10-05,10.37,6.7,16.6
2024-10-06,10.1,7.1,14.9
2024-10-07,9.55,5.8,17.3
2024-10-08,6.31,1.9,12.9
2024-10-09,9.94,4.4,14.7
2024-10-10,6.09,3.1,13.5
2024-10-11,8.74,6.5,15.0
2024-10-12,7.34,2.6,17.9
2024-10-13,9.02,6.3,13.5
2024-10-14,15.58,1.4,23.7
2024-10-15,4.42,2.5,6.8
2024-10-16,4.83,1.1,10.5
2024-10-17,7.68,4.3,10.2
2024-10-18,5.08,2.1,16.2
2024-10-19,12.58,6.5,26.8
2024-10-20,17.47,6.2,29.3
2024-10-21,14.5,8.1,22.2
2024-10-22,13.4,7.8,26.1
2024-10-23,14.17,7.9,18.7
2024-10-24,7.7,3.0,14.7
2024-10-25,5.8,3.5,14.7
2024-10-26,8.28,2.3,14.8
2024-10-27,5.13,2.2,14.3
2024-10-28,14.81,6.9,25.1
2024-10-29,12.67,9.1,16.9
2024-10-30,16.36,11.3,22.8
2024-10-31,16.85,7.3,23.2
2024-11-01,6.85,4.3,13.1
2024-11-02,4.88,1.9,7.6
2024-11-03,9.55,6.6,25.3
2024-11-04,11.25,7.7,16.5
2024-11-05,10.07,6.4,13.6
2024-11-06,6.65,3.6,10.5
2024-11-07,9.13,4.5,14.8
2024-11-08,8.24,5.2,11.8
2024-11-09,3.82,1.6,12.1
2024-11-10,14.64,7.3,24.2
2024-11-11,5.58,2.5,11.0
2024-11-12,5.09,1.2,12.0
2024-11-13,4.54,2.1,11.2
2024-11-14,8.35,5.0,17.1
2024-11-15,11.01,3.4,22.1
2024-11-16,4.41,2.2,6.2
2024-11-17,5.0,2.5,18.3
2024-11-18,16.94,6.1,29.3
2024-11-19,8.48,4.9,25.5
2024-11-20,22.66,11.8,37.3
2024-11-21,6.88,2.7,15.3
2024-11-22,3.66,1.0,6.5
2024-11-23,6.91,2.4,13.8
2024-11-24,4.25,2.8,7.4
2024-11-25,10.41,6.3,27.8
2024-11-26,15.28,4.0,29.6
2024-11-27,10.94,5.8,17.0
2024-11-28,15.77,3.2,27.2
2024-11-29,5.02,2.2,9.2
2024-11-30,5.37,3.3,12.3
2024-12-01,11.01,5.0,15.8
2024-12-02,11.83,5.3,16.8
2024-12-03,9.19,2.9,15.5
2024-12-04,11.3,7.8,24.7
2024-12-05,8.08,2.2,11.5
